eid,street,city,state,zip
101,1313 Central Avenue,Rochelle Park,NJ,07662
102,2746 Dark Hollow Road,Maple Shade,NJ,08052
103,3478 Pooz Street,Toms River,NJ,08753
104,3185 Jadewood Farms,Morristown,NJ,07960
105,2374 Spring Haven Trail,Summit,NJ,07901
106,3848 Walnut Avenue,Rochelle Park,NJ,07662
107,1023 Whiteman Street,Pemberton,NJ,08068
108,4994 Williams Mine Road,Newark,NJ,07102
109,1359 W Point Ave,Mays Landing,NJ,08330
110,3871 Finwood Road,Piscataway,NJ,08854
111,1563 Webster Street,Metuchen,NJ,08840
112,1893 Red Bud Lane,Rochelle Park,NJ,07662
113,1039 Beechwood Avenue,Red Bank,NJ,07701
114,989 Granville Lane,Newark,NJ,07102
115,1898 Moonlight Drive,Camden,NJ,08102
116,3918 Jadewood Farms,Newark,NJ,07102
117,223 Lake Road,Maple Shade,NJ,08052
118,2265 Walnut Avenue,Hackensack,NJ,07601
119,4402 Pennsylvania Avenue,New Brunswick,NJ,08901
120,2892 Lee Avenue,Camden,NJ,08104
201,3434 Briarwood Drive,Camden,NJ,08102
202,1880 Prospect Street,Jersey City,NJ,07305
203,489 Beechwood Avenue,Hackettstown,NJ,07840
204,3426 Prospect Street,Merchantville,NJ,08109
205,113 Mahlon Street,South River,NJ,08882
206,4814 Spring Haven Trail,Mountain View,NJ,07470
207,3641 Williams Mine Road,Newark,NJ,07102
208,4457 Hudson Street,Lyndhurst,NJ,07071
209,2002 Beechwood Avenue,Belle Mead,NJ,08502
210,3345 Drummond Street,Piscataway,NJ,08854
211,4663 Fairfax Drive,Bernardsville,NJ,07924
212,2623 Pooz Street,Red Bank,NJ,07701
213,1153 Jadewood Farms,Paterson,NJ,07501
214,1606 Passaic Street,Newark,NJ,07102
215,257 Hudson Street,Succasunna,NJ,07876
216,4136 Delladonna Circle,Newark,NJ,07192
217,11902 Tony Junction,Newark,NJ,07192
218,20 Superior Alley,Newark,NJ,07192
219,5 Golden Leaf Place,Newark,NJ,07192
220,4 Old Shore Plaza,Newark,NJ,07192
221,32 Ludington Drive,Newark,NJ,07192
222,3423 Tony Crossing,Newark,NJ,07192
223,1 Moland Hill,Newark,NJ,07192
224,6584 Morrow Hill,Newark,NJ,07192
225,47 Huxley Pass,Newark,NJ,07192
226,2 Melby Parkway,Newark,NJ,07192
227,76 Schiller Avenue,Newark,NJ,07192
301,2723 Pinnickinnick Street,Piscataway,NJ,08854
302,3942 Hedge Street,Somerville,NJ,08876
303,545 Jadewood Farms,Lyndhurst,NJ,07071
304,478 Valley Street,Camden,NJ,08102
305,3732 Central Avenue,Jersey City,NJ,07304
401,4543 Prospect Street,Vineland,NJ,08360
402,3894 Prospect Street,Merchantville,NJ,08109
403,513 Fairfax Drive,Westfield,NJ,07090
404,1580 Lake Road,Egg Harbor,NJ,08232
405,4975 Hilltop Haven Drive,Newark,NJ,07102
