eid,ssn,grade,name
201,617534359,APRN,Juan Goro
202,159508413,APRN,Joshua Aras
203,038266794,RN,Christina White
204,212079786,RN,Arby Berger
205,519723423,RN,Jessie Wang
206,425208665,RN,Mary Presbaugh
207,646161663,RN,Victor Ho
208,502547626,LPN,Jackie Lee
209,438468056,LPN,Sheena Torres
210,002024545,LPN,Sonya Cynbel
211,481404260,LPN,Sofia Brown
212,003801795,LPN,Clifford Butler
213,677202936,CNA,Adam Stevens
214,498545521,CNA,Isaac Davis
215,680156635,CNA,Edward Perry
216,432761852,APRN,Frants Jeannet
217,488607040,APRN,Jo Forst
218,318895119,RN,Peggie Housin
219,171372594,RN,Vaughn Denyagin
220,246900110,RN,Collie Leary
221,203707418,RN,Elset Ledster
222,703916886,LPN,Laurie Muir
223,299666181,LPN,Crin Popworth
224,532335487,LPN,Iris Redholls
225,328858442,LPN,Cullen Gorce
226,612621429,LPN,Emlynne Belfitt
227,489085615,CNA,Abbie Amor
