pid,name,ssn,dob,gender,street,city,state,zip,number,eid
1,Amie Pineda,146188151,11/2/1987,F,658 Longview Avenue,Bronx,NY,10458,5058898912,102
2,Milly Robertson,151288570,2/3/1966,F,4068 Lake Road,Laurel Springs,NJ,08021,2068359380,102
3,Belle Medina,138015820,12/23/1999,F,96 Anmoore Road,Bronx,NY,10453,3055532404,102
4,Ann Strong,144885142,10/22/1977,F,2209 Old Dear Lane,Peekskill,NY,10566	,2138668696,102
5,Natasha Terrell,140010053,10/14/1994,F,1762 Central Avenue,Union City,NJ,07087,2206844490,102
6,Catrin Khan,198071673,8/10/1945,F,4823 Lincoln Street,Camden,NJ,08102,6674021889,102
7,Teddy Ramsey,152802021,8/14/1977,F,906 Goldleaf Lane,Newark,NJ,07102,2142750810,102
8,Anjali Hines,144440095,11/17/1967,F,858 Hilltop Haven Drive,Newark,NJ,07102,2073558301,102
9,Andrea Moyer,144604840,12/31/1987,F,879 Jadewood Farms,Newark,NJ,07102,5059862919,103
10,Sophie Page,151606500,1/29/1974,F,348 Walnut Avenue,Newark,NJ,07102,3044287744,103
11,Chaya Clarke,334088494,7/11/1999,F,349 Walnut Avenue,Newark,NJ,07102,3082912927,103
12,Zoe Stanton,342843047,5/12/1981,F,350 Walnut Avenue,Newark,NJ,07102,5052754905,103
13,Jaime Matthams,359302558,2/22/1962,F,351 Walnut Avenue,Newark,NJ,07102,5056443222,103
14,Willie Grant,327326181,6/12/1956,F,858 Hilltop Haven Drive,Newark,NJ,07102,4192950533,103
15,Fiona Winters,521568454,7/12/1993,F,859 Hilltop Haven Drive,Newark,NJ,07102,2173104646,103
16,Francesco Osborn,651183742,6/21/1993,M,860 Hilltop Haven Drive,Newark,NJ,07102,2204026573,103
17,Seamus Mcmahon,144761277,2/23/1996,M,861 Hilltop Haven Drive,Newark,NJ,07102,2148609049,104
18,Kade Rowland,156462019,12/31/1995,M,4222 Caynor Circle,Newark,NJ,07102,2204563304,104
19,Lachlan Livingston,651184362,12/12/1990,M,2929 Northwest Boulevard,Kearny,NJ,07032,2563272605,104
20,Jodie Brown,651447521,11/21/1990,M,443 West Side Avenue,Kearny,NJ,07032,2177237792,104
21,Dawson Archer,166665979,1/14/1991,M,2023 Pooz Street,Edison,NJ,08817,2136217626,104
22,Rhys Cannon,144885141,1/1/1992,M,2393 Passaic Street,Jersey City,NJ,07304,2012582531,104
23,Marco Davies,140012153,9/23/1998,M,443 West Side Avenue,Kearny,NJ,07032,5056447540,104
24,Patrick O'Reilly,200808487,12/12/2000,M,444 West Side Avenue,Kearny,NJ,07032,2393322604,105
25,Harri Hansen,152802424,7/7/2001,M,445 West Side Avenue,Kearny,NJ,07032,5056447515,105
26,Josef Moody,144440445,7/14/1994,M,446 West Side Avenue,Kearny,NJ,07032,2392223565,105
27,Sienna Medina,144604891,12/21/1988,M,2929 Northwest Boulevard,Kearny,NJ,07032,5056442111,105
28,Muhammed Walters,151606521,4/14/1994,M,2930 Northwest Boulevard,Kearny,NJ,07032,5054464271,105
29,Sufyaan Villarreal,415436801,4/12/1991,M,2931 Northwest Boulevard,Kearny,NJ,07032,5056447002,105
30,Clarence Griffith,756093440,6/11/1985,M,2932 Northwest Boulevard,Kearny,NJ,07032,3022213445,105
