eid,ssn,name
101,150366429,Tairo Chikako
102,135489845,Miyoshi Sora
103,152409760,Shen Bao
104,156885574,Sun Yuan
105,157782011,Sam Simpson
106,149447551,Ann Boone
107,158581075,Brittney Cook
108,152500412,Jose Romero
109,157667954,Ligaya Medina
110,150584866,Lailani Cooper
111,144227140,Luigi Allesi
112,142051984,Leone Piccio
113,137780042,Dong Sung
114,142079490,Yun Jae
115,156802412,Chai Hee
116,145016950,Ella Fitzgerald
117,147193997,Dave Nelson
118,135179148,Richard Gordon
119,136157629,Amelia Ransom
120,145208756,Alta Parker
